time,disp_x_max,disp_z_max,vonmises_max
1.35,-153.23471059308,-28.74094464532,22.911695893099
1.355,-152.71967435188,-28.921482665722,16.58369330182
1.36,-151.28427894606,-29.040773750331,8.8828144075069
1.365,-149.56587028479,-28.972543735447,6.6457371885184
1.37,-148.28612662101,-28.919119522651,12.291119708039
1.375,-147.65639158592,-28.791366211255,20.489350853666
1.38,-147.80960547884,-28.668118238808,25.342147090125
1.385,-148.71260759811,-28.596508064267,27.952115268837
1.39,-150.11388304165,-28.577727882707,26.663947424403
1.395,-150.60795536343,-28.590469172426,23.986088370269
1.4,-150.60317995627,-28.61555511914,20.582415943688
1.405,-150.59793123027,-28.685346269737,15.766670264696
1.41,-150.56778732561,-28.763698761192,10.569909693522
1.415,-150.49210669507,-28.768462704063,7.5796117868997
1.42,-150.37458968547,-28.63204672168,11.022285288751
1.425,-150.12925273796,-28.468648635703,15.227364680134
1.43,-148.80681238262,-28.298318357737,19.18241131673
1.435,-147.55063978916,-28.174925845089,21.29902809383
1.44,-146.84978107419,-28.099295237765,22.19642653803
1.445,-146.90850620659,-28.115770035602,19.693283608539
1.45,-147.72296128033,-28.225045299968,14.616774083145
1.455,-149.08356829581,-28.372821175531,7.1479479287209
1.46,-150.17706669563,-28.44995158599,2.2081092551346
1.465,-150.32825760984,-28.32442581624,9.0852902840685
1.47,-150.52968978032,-28.130327438161,15.080813429953
1.475,-150.76468460385,-27.975020530922,19.167244084818
1.48,-151.01290816456,-27.92385270641,20.978967923456
1.485,-151.25220565877,-27.945567769887,20.639743990565
1.49,-151.38403562249,-27.984953241876,19.395821064798
1.495,-150.55354014149,-27.980505808693,16.64146159896
1.5,-149.7920158935,-27.995222611381,12.319466489007
1.505,-149.53880933312,-27.98369064209,8.9122280500335
1.51,-149.92704489101,-28.017996848774,7.9912694208015
1.515,-150.92505048734,-27.990259365911,11.516769718046
1.52,-152.35484698311,-27.910763575287,14.975402775908
1.525,-153.42070903738,-27.824146313459,19.636819914812
1.53,-153.67443434424,-27.741022626353,22.935824106048
1.535,-153.89983883,-27.743452918461,23.020695748746
1.54,-154.11172454743,-27.839628747816,20.245078401007
1.545,-154.32914830867,-27.963366744901,15.917444828756
1.55,-154.57093774176,-28.083208961505,7.9047148885369
1.555,-154.8030159528,-28.147427565597,1.8058705123923
1.56,-153.6804097607,-28.046513770458,10.235496034703
1.565,-152.82916320628,-27.926992178332,17.68646877638
1.57,-152.61596720279,-27.867604052429,23.595707861347
1.575,-153.14611960653,-27.865584354033,25.242476244898
1.58,-154.31284088944,-27.894792946056,23.100296917224
1.585,-155.8299395002,-27.950888129204,19.727763151795
1.59,-156.34246933824,-28.024848589831,14.873071262285
1.595,-156.60493140872,-28.149097640568,10.282998312594
1.6,-156.91856969024,-28.207705583649,8.4025690671992
1.605,-157.27560966749,-28.169417960705,8.9076829872983
1.61,-157.66234317742,-28.075588191746,14.413913636332
1.615,-158.06449461257,-27.997750309204,17.392319271367
1.62,-157.62370960995,-27.942207363131,20.09725655969
1.625,-156.88308730146,-27.876859864102,21.363194205436
1.63,-156.62465366019,-27.850817887907,21.239664134424
1.635,-157.00373240926,-27.881136249841,17.910405276543
1.64,-157.99640062757,-27.918749938328,13.239717160915
1.645,-159.43789329577,-27.973895136492,6.1704345388942
1.65,-160.61535982329,-27.977231025528,2.7408059393507
1.655,-160.90422250841,-27.715302105608,9.6396574104426
1.66,-161.18765878868,-27.489946438375,15.031097358176
1.665,-161.47675253432,-27.320585266853,20.579207581781
1.67,-161.78381010904,-27.20503959583,22.102346616733
1.675,-162.1195077841,-27.120291698545,20.848166070429
1.68,-162.39948673848,-27.070297431039,18.696245489279
1.685,-161.44153734981,-27.03638216068,17.017003242215
1.69,-160.731077659,-27.039125733388,11.450418500972
1.695,-160.63591980473,-26.916901339807,9.1647799012307
1.7,-161.23399705473,-26.805821680456,8.5842518774227
1.705,-162.4191434105,-26.761130231284,12.931215610458
1.71,-163.96978310437,-26.718996175136,17.062449030477
1.715,-164.76536463657,-26.629593416781,20.964357287881
1.72,-165.13933007715,-26.49122564373,23.368757615361
1.725,-165.5586519269,-26.463985765606,22.805700617575
1.73,-166.0296446416,-26.57859550531,18.248120069809
1.735,-166.55820852798,-26.737506385025,12.20049645404
1.74,-167.13430327475,-26.929792446399,4.6578741634039
1.745,-166.88414102584,-26.944825005558,6.0822202349551
1.75,-166.30033296013,-26.794931373299,13.95581844783
1.755,-166.23370814703,-26.663958899082,18.600406932985
1.76,-166.83294664491,-26.614280366723,23.286818786369
1.765,-168.03257781057,-26.648124621644,23.776563042121
1.77,-169.60890999447,-26.699789699775,20.544075737928
1.775,-170.4086378535,-26.727021108961,15.959416851718
1.78,-170.83048578199,-26.772886178243,13.428503055532
1.785,-171.32740431618,-26.841912760162,8.5682456324758
1.79,-171.89727010956,-26.871252852187,7.5363068601419
1.795,-172.52174355449,-26.86722870247,10.008287962794
1.8,-173.19135908873,-26.804887778044,14.314481235312
1.805,-172.95147427615,-26.752038103062,18.191817487743
1.81,-172.57161123919,-26.687771325787,20.00686962476
1.815,-172.68348528903,-26.642065276421,21.082954267723
1.82,-173.45765003155,-26.676061592793,19.634675367521
1.825,-174.91327405762,-26.775116987033,15.148465173138
1.83,-176.89826687034,-26.896593911398,8.5136670910489
1.835,-178.58125720613,-26.967033833743,3.0526102456408
1.84,-179.17329194453,-26.873764294839,7.9543032457675
1.845,-179.68675467591,-26.663730630316,14.218488608508
1.85,-180.13757228325,-26.486291467048,18.336729887572
1.855,-180.54279456553,-26.422843018043,21.963936293086
1.86,-180.92006690259,-26.45015369756,21.598240712616
1.865,-181.28999220432,-26.521489335528,19.487844700161
1.87,-180.54480016433,-26.583700796971,18.084557005827
1.875,-179.40457771344,-26.676671486876,15.994655988833
1.88,-178.88495441553,-26.766889243279,12.098267054727
1.885,-179.20695790346,-26.82115387926,11.555268063041
1.89,-180.42206302988,-26.892990427342,11.610400234485
1.895,-182.3942681617,-27.070914030691,14.391957753297
1.9,-184.79483886778,-27.152851188744,18.0265907037
1.905,-185.55578582751,-27.124764437437,21.966917954791
1.91,-186.23920669907,-27.129916219764,24.500850049326
1.915,-186.95704561436,-27.269184686878,22.964984317116
1.92,-187.69529261715,-27.52712205505,18.248639457463
1.925,-188.43542503121,-27.799999057958,10.040403150964
1.93,-189.15294288118,-28.062476692542,2.2894071435457
1.935,-188.7429057524,-28.107584504665,8.6925904244622
1.94,-188.04113281168,-28.033278925668,16.380829688521
1.945,-187.89899244398,-28.018414146494,21.567472557984
1.95,-188.47345346159,-28.073458953623,25.693319173905
1.955,-189.7652815694,-28.177993989259,25.709224201558
1.96,-191.6211444959,-28.337204400318,21.599257303191
1.965,-193.15258229886,-28.535798849207,16.53350049488
